run_id,approach,generator,repeat,question_id,category,difficulty,knowledge_type,classification,lexical_sim,semantic_sim,latency_ms,tokens_in,tokens_out,estimated_cost,source_covered,error,judge_claude-sonnet-4-6_correctness,judge_claude-sonnet-4-6_completeness,judge_claude-sonnet-4-6_groundedness,judge_claude-sonnet-4-6_clarity,judge_claude-sonnet-4-6_average,judge_gpt-5.5_correctness,judge_gpt-5.5_completeness,judge_gpt-5.5_groundedness,judge_gpt-5.5_clarity,judge_gpt-5.5_average,judge_grok-build-0.1_correctness,judge_grok-build-0.1_completeness,judge_grok-build-0.1_groundedness,judge_grok-build-0.1_clarity,judge_grok-build-0.1_average,panel_average,crossfamily_average
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q017,explanatory,medium,architectural,partial,0.431054,,6766.066,3,252,0.003789,1,,3,3,3,3,3.0,1,0,2,3,1.5,3,2,3,3,2.75,2.4167,2.125
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q018,explanatory,medium,architectural,incorrect,0.28484,,11157.918,3,569,0.008544,1,,3,3,3,3,3.0,3,2,2,3,2.5,3,2,3,3,2.75,2.75,2.625
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q019,explanatory,medium,operational,correct,0.476791,,7182.933,3,267,0.004014,1,,3,3,3,3,3.0,1,1,2,3,1.75,3,2,3,3,2.75,2.5,2.25
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q020,explanatory,hard,mixed,partial,0.361866,,10154.596,563,458,0.008559,1,,1,1,2,3,1.75,1,1,3,3,2.0,1,1,3,3,2.0,1.9167,2.0
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q021,explanatory,hard,architectural,correct,0.33823,,10357.414,3,558,0.008379,1,,1,1,1,1,1.0,3,2,3,3,2.75,3,2,3,3,2.75,2.1667,2.75
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q022,impact,hard,mixed,correct,0.381887,,10754.57,476,464,0.008388,1,,3,3,3,3,3.0,2,2,2,3,2.25,2,2,3,3,2.5,2.5833,2.375
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q023,impact,hard,mixed,correct,0.433714,,8927.889,3,373,0.005604,1,,1,1,1,1,1.0,1,1,1,1,1.0,1,1,1,1,1.0,1.0,1.0
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q024,impact,medium,architectural,correct,0.505495,,5130.051,171,195,0.003438,1,,2,1,3,3,2.25,1,0,3,3,1.75,3,1,3,3,2.5,2.1667,2.125
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q025,impact,medium,operational,partial,0.48564,,4516.138,165,172,0.003075,1,,0,0,3,3,1.5,1,0,3,3,1.75,3,1,3,3,2.5,1.9167,2.125
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q026,impact,hard,mixed,correct,0.380665,,12283.836,947,578,0.011511,1,,2,2,3,3,2.5,1,1,1,3,1.5,1,1,2,3,1.75,1.9167,1.625
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q027,impact,medium,mixed,incorrect,0.29774,,16853.525,3,830,0.012459,1,,3,3,3,3,3.0,2,2,2,3,2.25,2,2,2,3,2.25,2.5,2.25
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q028,impact,medium,mixed,correct,0.318106,,11908.429,3,595,0.008934,1,,2,2,3,3,2.5,1,1,3,3,2.0,1,1,3,3,2.0,2.1667,2.0
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q029,discovery,easy,factual,correct,0.496894,,5432.68,973,267,0.006924,1,,2,1,3,3,2.25,1,1,2,3,1.75,1,1,1,3,1.5,1.8333,1.625
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q030,discovery,medium,relational,partial,0.384484,,6346.861,624,267,0.005877,1,,1,0,2,3,1.5,1,0,3,3,1.75,3,2,3,3,2.75,2.0,2.25
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q031,discovery,medium,operational,correct,0.500392,,4622.326,897,154,0.005001,1,,1,0,3,3,1.75,1,0,3,3,1.75,1,1,3,3,2.0,1.8333,1.875
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q032,discovery,easy,factual,partial,0.478036,,3000.956,684,94,0.003462,1,,3,2,3,3,2.75,3,3,3,3,3.0,3,2,3,3,2.75,2.8333,2.875
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q033,discovery,hard,architectural,partial,0.349315,,11094.524,566,511,0.009363,1,,1,1,2,3,1.75,1,0,2,3,1.5,2,1,3,3,2.25,1.8333,1.875
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q034,discovery,medium,operational,partial,0.472982,,4715.435,552,173,0.004251,1,,2,1,3,3,2.25,2,1,3,3,2.25,3,1,3,3,2.5,2.3333,2.375
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q035,ambiguous,medium,mixed,partial,0.384959,,9768.661,664,479,0.009177,1,,1,1,3,3,2.0,1,1,2,3,1.75,2,1,3,3,2.25,2.0,2.0
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q036,ambiguous,hard,mixed,correct,0.334748,,12338.189,3,597,0.008964,1,,2,2,3,3,2.5,2,1,2,3,2.0,2,1,2,3,2.0,2.1667,2.0
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q037,ambiguous,hard,mixed,partial,0.43813,,6896.148,441,328,0.006243,1,,2,2,3,3,2.5,1,0,2,3,1.5,3,2,3,3,2.75,2.25,2.125
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q038,ambiguous,easy,operational,partial,0.39823,,7678.315,363,377,0.006744,1,,1,1,3,3,2.0,1,1,2,3,1.75,1,1,3,3,2.0,1.9167,1.875
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q039,ambiguous,easy,operational,correct,0.469401,,4980.71,205,167,0.00312,1,,2,1,3,3,2.25,1,0,3,3,1.75,3,1,3,3,2.5,2.1667,2.125
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q040,ambiguous,hard,mixed,correct,0.363503,,10846.967,3,544,0.008169,1,,2,2,2,3,2.25,2,1,2,3,2.0,2,1,2,3,2.0,2.0833,2.0
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q041,factual,easy,factual,correct,0.407125,,3892.372,507,144,0.003681,1,,3,3,3,3,3.0,3,3,3,3,3.0,3,2,3,3,2.75,2.9167,2.875
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q042,explanatory,medium,architectural,partial,0.424981,,6549.555,562,196,0.004626,1,,1,0,3,3,1.75,1,0,3,3,1.75,0,0,3,3,1.5,1.6667,1.625
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q043,factual,medium,relational,incorrect,0.388278,,5674.22,3,259,0.003894,1,,1,1,2,3,1.75,1,1,1,3,1.5,1,1,0,3,1.25,1.5,1.375
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q044,impact,hard,architectural,correct,0.377358,,8425.69,577,384,0.007491,1,,3,3,3,3,3.0,2,2,2,3,2.25,3,2,3,3,2.75,2.6667,2.5
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q045,factual,easy,operational,incorrect,0.288077,,10778.667,622,482,0.009096,1,,1,1,3,3,2.0,1,1,2,3,1.75,1,1,3,3,2.0,1.9167,1.875
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q046,relational,hard,architectural,incorrect,0.268739,,17161.809,735,848,0.014925,1,,1,1,3,3,2.0,1,0,2,3,1.5,2,1,3,3,2.25,1.9167,1.875
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q047,factual,easy,factual,partial,0.514286,,3607.84,282,100,0.002346,1,,2,1,3,3,2.25,1,0,3,3,1.75,3,1,3,3,2.5,2.1667,2.125
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q048,explanatory,medium,operational,partial,0.377936,,7885.27,514,310,0.006192,1,,1,1,3,3,2.0,1,0,3,3,1.75,3,2,3,3,2.75,2.1667,2.25
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q049,discovery,hard,mixed,incorrect,0.265683,,13784.143,867,668,0.012621,1,,2,2,3,3,2.5,1,1,1,3,1.5,1,1,1,3,1.5,1.8333,1.5
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q050,explanatory,easy,operational,correct,0.32356,,7895.26,923,332,0.007749,1,,1,1,3,3,2.0,1,0,2,3,1.5,1,1,3,3,2.0,1.8333,1.75
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q051,explanatory,medium,architectural,partial,0.37764,,6798.175,567,262,0.005631,1,,2,1,3,3,2.25,1,0,3,3,1.75,2,1,3,3,2.25,2.0833,2.0
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q052,factual,easy,factual,partial,0.480496,,4131.835,312,156,0.003276,1,,1,1,3,3,2.0,1,0,2,3,1.5,3,2,3,3,2.75,2.0833,2.125
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q053,impact,hard,architectural,partial,0.371648,,8512.669,549,370,0.007197,1,,2,2,3,3,2.5,2,1,2,3,2.0,2,1,3,3,2.25,2.25,2.125
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q054,relational,medium,relational,partial,0.493573,,4689.194,572,204,0.004776,1,,3,3,3,3,3.0,2,2,3,3,2.5,3,3,3,3,3.0,2.8333,2.75
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q055,explanatory,hard,architectural,partial,0.419202,,5042.053,303,214,0.004119,1,,1,1,3,3,2.0,1,0,3,3,1.75,3,2,3,3,2.75,2.1667,2.25
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q056,factual,easy,factual,incorrect,0.341518,,7994.281,3,329,0.004944,1,,2,1,3,3,2.25,1,1,3,3,2.0,1,1,3,3,2.0,2.0833,2.0
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q057,impact,hard,architectural,partial,0.369393,,9829.06,225,424,0.007035,1,,1,1,2,3,1.75,1,1,3,3,2.0,3,1,3,3,2.5,2.0833,2.25
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q058,factual,easy,factual,incorrect,0.333901,,6445.537,3,383,0.005754,1,,3,3,3,3,3.0,3,2,3,3,2.75,3,3,3,3,3.0,2.9167,2.875
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q059,relational,hard,mixed,incorrect,0.288351,,14026.414,511,676,0.011673,1,,1,1,3,3,2.0,1,0,1,3,1.25,1,1,2,3,1.75,1.6667,1.5
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q060,impact,easy,factual,partial,0.424929,,3661.075,222,157,0.003021,1,,1,1,3,3,2.0,1,0,3,3,1.75,1,1,3,3,2.0,1.9167,1.875
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q061,relational,medium,relational,incorrect,0.336563,,8050.028,3,385,0.005784,1,,1,2,3,3,2.25,1,1,2,3,1.75,2,1,3,3,2.25,2.0833,2.0
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q062,explanatory,hard,mixed,partial,0.397059,,8624.571,3,387,0.005814,1,,1,1,2,3,1.75,1,1,1,3,1.5,2,1,2,3,2.0,1.75,1.75
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q063,relational,medium,relational,correct,0.384837,,7451.173,594,376,0.007422,1,,2,2,2,3,2.25,2,1,1,3,1.75,2,1,1,3,1.75,1.9167,1.75
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q064,discovery,hard,architectural,partial,0.38825,,10038.628,3,426,0.006399,1,,2,1,3,3,2.25,2,1,2,3,2.0,3,2,3,3,2.75,2.3333,2.375
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q065,explanatory,medium,architectural,partial,0.480363,,4179.688,279,162,0.003267,1,,1,0,3,3,1.75,1,0,3,3,1.75,3,2,3,3,2.75,2.0833,2.25
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q066,discovery,medium,mixed,partial,0.436257,,7853.837,420,290,0.00561,1,,3,3,3,3,3.0,3,2,3,3,2.75,3,2,3,3,2.75,2.8333,2.75
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q067,explanatory,hard,mixed,partial,0.354986,,7795.265,617,376,0.007491,1,,1,1,3,3,2.0,1,0,1,3,1.25,1,1,3,3,2.0,1.75,1.625
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q068,impact,hard,mixed,partial,0.353617,,13069.506,563,535,0.009714,1,,2,2,3,3,2.5,1,1,0,3,1.25,1,1,1,3,1.5,1.75,1.375
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q069,relational,easy,relational,partial,0.390469,,6172.602,3,253,0.003804,1,,2,3,1,3,2.25,2,2,1,3,2.0,1,2,1,3,1.75,2.0,1.875
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q070,impact,hard,mixed,incorrect,0.267516,,15759.583,572,814,0.013926,1,,2,3,3,3,2.75,2,1,1,3,1.75,2,1,2,3,2.0,2.1667,1.875
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q071,relational,medium,relational,incorrect,0.284933,,12461.293,991,675,0.013098,1,,2,3,1,3,2.25,1,2,1,3,1.75,1,2,1,3,1.75,1.9167,1.75
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q072,ambiguous,medium,architectural,partial,0.304098,,12819.268,3,623,0.009354,1,,2,2,3,3,2.5,2,1,2,3,2.0,2,2,3,3,2.5,2.3333,2.25
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q073,discovery,easy,factual,partial,0.440135,,5209.097,168,178,0.003174,1,,1,1,3,3,2.0,1,1,3,3,2.0,1,1,1,1,1.0,1.6667,1.5
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q074,ambiguous,hard,architectural,partial,0.36759,,11857.167,3,563,0.008454,1,,2,2,2,3,2.25,2,2,1,3,2.0,2,1,1,3,1.75,2.0,1.875
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q075,discovery,medium,mixed,partial,0.361071,,8257.887,731,354,0.007503,1,,2,1,3,3,2.25,1,1,3,3,2.0,3,1,3,3,2.5,2.25,2.25
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q076,discovery,hard,architectural,correct,0.375405,,11033.176,681,431,0.008508,1,,1,1,2,3,1.75,1,1,1,3,1.5,2,1,2,3,2.0,1.75,1.75
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q077,explanatory,medium,relational,partial,0.472127,,5679.816,171,227,0.003918,1,,2,2,3,3,2.5,3,2,3,3,2.75,2,1,3,3,2.25,2.5,2.5
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q078,ambiguous,medium,architectural,partial,0.409627,,8905.803,562,351,0.006951,1,,2,1,3,3,2.25,1,0,3,3,1.75,2,1,3,3,2.25,2.0833,2.0
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q079,impact,hard,operational,partial,0.373867,,10324.56,312,485,0.008211,1,,2,2,3,3,2.5,2,1,3,3,2.25,2,1,3,3,2.25,2.3333,2.25
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q080,ambiguous,easy,architectural,partial,0.409639,,7805.887,566,382,0.007428,1,,3,2,3,3,2.75,3,2,3,3,2.75,3,2,3,3,2.75,2.75,2.75
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q081,relational,hard,architectural,incorrect,0.230769,,13839.219,924,595,0.011697,1,,1,1,2,3,1.75,1,0,1,3,1.25,2,1,1,3,1.75,1.5833,1.5
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q082,discovery,hard,mixed,incorrect,0.196393,,15145.719,3,846,0.012699,1,,1,1,2,3,1.75,1,1,1,3,1.5,1,1,1,3,1.5,1.5833,1.5
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q083,impact,hard,operational,incorrect,0.252206,,12049.367,3,600,0.009009,1,,1,2,3,3,2.25,2,1,2,3,2.0,2,1,3,3,2.25,2.1667,2.125
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q084,factual,medium,factual,incorrect,0.316655,,6381.324,3,337,0.005064,1,,2,2,3,3,2.5,2,2,3,3,2.5,2,2,3,3,2.5,2.5,2.5
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q085,explanatory,easy,architectural,partial,0.325307,,8000.137,635,447,0.00861,1,,3,3,3,3,3.0,3,2,3,3,2.75,1,1,1,1,1.0,2.25,1.875
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q086,factual,easy,factual,partial,0.460687,,4110.366,3,159,0.002394,1,,3,3,3,3,3.0,3,3,3,3,3.0,3,2,3,3,2.75,2.9167,2.875
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q087,impact,hard,architectural,partial,0.352941,,9850.256,3,426,0.006399,1,,2,2,3,3,2.5,2,1,3,3,2.25,2,2,3,3,2.5,2.4167,2.375
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q088,explanatory,medium,mixed,partial,0.348948,,9974.662,3,410,0.006159,1,,2,3,2,3,2.5,3,2,3,3,2.75,3,3,3,3,3.0,2.75,2.875
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q089,factual,easy,factual,incorrect,0.361762,,5362.176,3,170,0.002559,1,,1,1,3,3,2.0,1,0,3,3,1.75,3,2,3,3,2.75,2.1667,2.25
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q090,explanatory,medium,architectural,partial,0.43299,,4615.818,186,185,0.003333,1,,0,0,3,3,1.5,1,0,3,3,1.75,3,1,3,3,2.5,1.9167,2.125
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q091,explanatory,easy,architectural,incorrect,0.257508,,11802.89,988,578,0.011634,1,,3,3,2,3,2.75,2,3,1,3,2.25,2,2,1,3,2.0,2.3333,2.125
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q092,explanatory,medium,architectural,partial,0.33915,,9136.697,3,454,0.006819,1,,3,3,3,3,3.0,2,2,2,3,2.25,3,3,3,3,3.0,2.75,2.625
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q093,factual,easy,factual,incorrect,0.353569,,5488.84,3,289,0.004344,1,,2,3,3,3,2.75,2,2,2,3,2.25,3,2,3,3,2.75,2.5833,2.5
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q094,discovery,medium,mixed,partial,0.442804,,4368.478,3,154,0.002319,1,,2,1,3,3,2.25,1,1,3,3,2.0,1,1,3,3,2.0,2.0833,2.0
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q095,impact,medium,operational,incorrect,0.224698,,18630.329,3,906,0.013599,1,,3,3,3,3,3.0,2,2,2,3,2.25,3,3,3,3,3.0,2.75,2.625
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q096,relational,medium,architectural,incorrect,0.313521,,11754.003,822,607,0.011571,1,,3,3,2,3,2.75,2,2,1,3,2.0,2,2,1,3,2.0,2.25,2.0
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q097,discovery,hard,architectural,partial,0.359001,,8507.812,220,338,0.00573,1,,1,0,2,3,1.5,1,1,3,3,2.0,2,1,3,3,2.25,1.9167,2.125
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q098,factual,easy,factual,partial,0.456081,,3214.473,132,51,0.001161,0,,0,0,1,2,0.75,1,0,3,3,1.75,0,0,3,3,1.5,1.3333,1.625
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q099,ambiguous,hard,mixed,partial,0.328657,,10095.923,3,494,0.007419,1,,2,2,3,3,2.5,3,2,3,3,2.75,2,2,3,3,2.5,2.5833,2.625
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q100,impact,hard,mixed,partial,0.361391,,9497.915,562,398,0.007656,1,,1,1,2,3,1.75,1,0,2,3,1.5,2,1,3,3,2.25,1.8333,1.875
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q101,ambiguous,medium,operational,correct,0.471189,,5834.447,3,196,0.002949,1,,2,1,3,3,2.25,1,1,3,3,2.0,2,1,3,3,2.25,2.1667,2.125
